,Db,dn_tube,n_ways,L,S_outlet,S_inlet,area
1,400,20,2,9,0.03,0.0162,0.0
11,800,20,2,9,0.07,0.0706,0.0
12,800,20,4,9,0.07,0.0308,0.0
13,800,25,1,9,0.0788,0.1659,0.0
14,800,25,2,9,0.07,0.0774,0.0
22,1200,20,1,2,0.187,0.3442,0.0
23,1200,20,2,2,0.176,0.1658,0.0
24,1200,20,4,2,0.176,0.0788,0.0
25,1200,25,1,2,0.1788,0.3899,0.0
26,1200,25,2,2,0.165,0.1834,0.0
27,1200,25,4,2,0.165,0.0854,0.0
16,1000,20,1,2,0.156,0.2378,0.0
17,1000,20,2,2,0.1248,0.1138,0.0
18,1000,20,4,2,0.1248,0.0512,0.0
19,1000,25,1,2,0.1414,0.2695,0.0
20,1000,25,2,2,0.13,0.1257,0.0
21,1000,25,4,2,0.13,0.0553,0.0
27,1200,25,4,3,0.165,0.0854,0.0
9,600,25,4,9,0.045,0.0179,0.0
8,600,25,2,9,0.045,0.042,0.0
7,600,25,1,9,0.0525,0.0928,0.0
6,600,20,4,9,0.048,0.0162,0.0
5,600,20,2,9,0.048,0.037,0.0
4,600,20,1,9,0.054,0.0802,0.0
10,800,20,1,9,0.077,0.1498,0.0
15,800,25,4,9,0.07,0.0329,0.0
3,400,25,2,9,0.025,0.0168,0.0
22,1200,20,1,3,0.187,0.3442,0.0
23,1200,20,2,3,0.176,0.1658,0.0
24,1200,20,4,3,0.176,0.0788,0.0
25,1200,25,1,3,0.1788,0.3899,0.0
26,1200,25,2,3,0.165,0.1834,0.0
2,400,25,1,9,0.0438,0.0375,0.0
0,400,20,1,9,0.0448,0.0358,0.0
3,400,25,2,2,0.025,0.0168,15.4
2,400,25,1,2,0.0438,0.0375,16.8
1,400,20,2,2,0.03,0.0162,20.9
0,400,20,1,2,0.0448,0.0358,22.5
3,400,25,2,3,0.025,0.0168,23.1
2,400,25,1,3,0.0438,0.0375,25.2
3,400,25,2,4,0.025,0.0168,30.8
1,400,20,2,3,0.03,0.0162,31.3
9,600,25,4,2,0.045,0.0179,33.6
2,400,25,1,4,0.0438,0.0375,33.6
0,400,20,1,3,0.0448,0.0358,33.7
8,600,25,2,2,0.045,0.042,38.9
7,600,25,1,2,0.0525,0.0928,41.6
1,400,20,2,4,0.03,0.0162,41.7
6,600,20,4,2,0.048,0.0162,43.2
0,400,20,1,4,0.0448,0.0358,45.0
3,400,25,2,6,0.025,0.0168,46.2
5,600,20,2,2,0.048,0.037,47.7
9,600,25,4,3,0.045,0.0179,50.4
2,400,25,1,6,0.0438,0.0375,50.4
4,600,20,1,2,0.054,0.0802,50.4
8,600,25,2,3,0.045,0.042,58.4
7,600,25,1,3,0.0525,0.0928,62.4
1,400,20,2,6,0.03,0.0162,62.6
15,800,25,4,2,0.07,0.0329,64.5
6,600,20,4,3,0.048,0.0162,64.8
9,600,25,4,4,0.045,0.0179,67.2
0,400,20,1,6,0.0448,0.0358,67.4
14,800,25,2,2,0.07,0.0774,70.8
5,600,20,2,3,0.048,0.037,71.6
13,800,25,1,2,0.0788,0.1659,74.4
4,600,20,1,3,0.054,0.0802,75.5
8,600,25,2,4,0.045,0.042,77.9
7,600,25,1,4,0.0525,0.0928,83.2
12,800,20,4,2,0.07,0.0308,83.9
6,600,20,4,4,0.048,0.0162,86.4
11,800,20,2,2,0.07,0.0706,90.5
10,800,20,1,2,0.077,0.1498,94.1
5,600,20,2,4,0.048,0.037,95.5
15,800,25,4,3,0.07,0.0329,96.8
4,600,20,1,4,0.054,0.0802,100.7
9,600,25,4,6,0.045,0.0179,100.8
14,800,25,2,3,0.07,0.0774,106.2
13,800,25,1,3,0.0788,0.1659,111.6
8,600,25,2,6,0.045,0.042,116.8
7,600,25,1,6,0.0525,0.0928,124.8
12,800,20,4,3,0.07,0.0308,125.9
15,800,25,4,4,0.07,0.0329,129.1
6,600,20,4,6,0.048,0.0162,129.6
11,800,20,2,3,0.07,0.0706,135.7
10,800,20,1,3,0.077,0.1498,141.1
14,800,25,2,4,0.07,0.0774,141.6
5,600,20,2,6,0.048,0.037,143.2
13,800,25,1,4,0.0788,0.1659,148.8
4,600,20,1,6,0.054,0.0802,151.1
21,1000,25,4,3,0.13,0.0553,162.3
12,800,20,4,4,0.07,0.0308,167.8
20,1000,25,2,3,0.13,0.1257,174.5
11,800,20,2,4,0.07,0.0706,180.9
19,1000,25,1,3,0.1414,0.2695,181.6
10,800,20,1,4,0.077,0.1498,188.1
15,800,25,4,6,0.07,0.0329,193.6
18,1000,20,4,3,0.1248,0.0512,205.0
14,800,25,2,6,0.07,0.0774,212.4
21,1000,25,4,4,0.13,0.0553,216.3
17,1000,20,2,3,0.1248,0.1138,216.8
13,800,25,1,6,0.0788,0.1659,223.3
16,1000,20,1,3,0.156,0.2378,224.0
20,1000,25,2,4,0.13,0.1257,232.7
19,1000,25,1,4,0.1414,0.2695,242.1
12,800,20,4,6,0.07,0.0308,254.1
11,800,20,2,6,0.07,0.0706,271.4
18,1000,20,4,4,0.1248,0.0512,273.3
10,800,20,1,6,0.077,0.1498,282.2
17,1000,20,2,4,0.1248,0.1138,289.1
16,1000,20,1,4,0.156,0.2378,298.7
27,1200,25,4,4,0.165,0.0854,319.3
21,1000,25,4,6,0.13,0.0553,324.5
26,1200,25,2,4,0.165,0.1834,338.8
20,1000,25,2,6,0.13,0.1257,349.0
25,1200,25,1,4,0.1788,0.3899,349.8
19,1000,25,1,6,0.1414,0.2695,363.1
24,1200,20,4,4,0.176,0.0788,401.9
18,1000,20,4,6,0.1248,0.0512,410.0
23,1200,20,2,4,0.176,0.1658,421.5
22,1200,20,1,4,0.187,0.3442,432.3
17,1000,20,2,6,0.1248,0.1138,433.7
16,1000,20,1,6,0.156,0.2378,448.0
27,1200,25,4,6,0.165,0.0854,479.0
21,1000,25,4,9,0.13,0.0553,486.8
26,1200,25,2,6,0.165,0.1834,508.2
20,1000,25,2,9,0.13,0.1257,523.5
25,1200,25,1,6,0.1788,0.3899,524.7
19,1000,25,1,9,0.1414,0.2695,544.7
24,1200,20,4,6,0.176,0.0788,602.9
18,1000,20,4,9,0.1248,0.0512,615.0
23,1200,20,2,6,0.176,0.1658,632.3
22,1200,20,1,6,0.187,0.3442,648.5
17,1000,20,2,9,0.1248,0.1138,650.4
16,1000,20,1,9,0.156,0.2378,672.0
27,1200,25,4,9,0.165,0.0854,718.5
26,1200,25,2,9,0.165,0.1834,762.3
25,1200,25,1,9,0.1788,0.3899,787.0
24,1200,20,4,9,0.176,0.0788,904.3
23,1200,20,2,9,0.176,0.1658,948.4
22,1200,20,1,9,0.187,0.3442,972.7
